Fecha,Modelo,Versión,Precio,Kilometraje,Año,Motor,Tipo
13/04/2020,BMW i3,120Ah,32700,3.525,11/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,32900,7.436,04/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,s 94Ah,32900,10.485,11/2017,135 kW (184 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),32900,540,01/2020,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah Range Extender,33000,10.300,02/2017,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,120Ah,33200,8.528,03/2019,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,120Ah,33200,7.204,03/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,33300,15,01/2020,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),33590,6.015,10/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),33590,10.000,10/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,33700,1.071,10/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,33700,1,12/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,33900,18,12/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),33900,5.708,01/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),33900,6.250,01/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),33900,4.860,04/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,i3s 94Ah BEV,33900,11.143,08/2018,135 kW (184 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,33900,19.900,10/2017,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,120Ah,34390,6.995,04/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,34390,6.959,03/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,34390,5.049,03/2019,125 kW (170 CV),Automático,Eléctrico
